artist_name,artist_genre,artist_img,artist_id,artist_country
Eric Cardona,Unknown,https://i.scdn.co/image/ab6761610000e5eb4fbd93ba7decbb41d72e0253,4U6i0xGQYBjWFd8MtdF26R,United States
Ernst Ottensamer,classical clarinet,https://i.scdn.co/image/ab67616d0000b2731d0d64e1f0395d368c49adce,1uqscf67Zj76nFwDJPIqRY,Austria
The Full Monty Ensemble,Unknown,,2pdug9wmiHBDSjJabePvQ2,Japan
George Fox,canadian country,https://i.scdn.co/image/ab6761610000e5eb2936cf3ed3d10c89216f5646,16C53fCphxpf4lcPsBXeov,Canada
Infradig,Unknown,https://i.scdn.co/image/ab6761610000e5eb509dc4b69055d89d50af5958,7xDYCXOiDipNQHxYoaykmy,United States
J.E. Mainer & His Mountaineers,Unknown,https://i.scdn.co/image/ab67616d0000b27383be6e4731ff28cf3cecc431,7ulGg2Pn8Cz58kEUyLqimP,United States
Jacob Hemphill,Unknown,https://i.scdn.co/image/ab67616d0000b273cbe4ac62fc85584d05a1a76f,19eNU5TerePMfGRGoKxC3b,United States
Jan van Est,"carnaval, levenslied",https://i.scdn.co/image/ab6761610000e5eb95aecccfc130df6b8663f0fb,1feKpwHpzkvIwaG7a8KwhE,Netherlands
Jimmy Page,"album rock, art rock, blues rock, british blues, classic rock, electric blues, hard rock, progressive rock",https://i.scdn.co/image/eb8fd85635cd147585f78d4e3e8b9a5e212269e3,55bGuHb50r5c0PeqqMeNBV,United States
Joseph Hammerly,Unknown,,6BCCvSXMpl0r4faAe6UWeg,United States
Kamil Strihavka,"classic czech pop, czech pop, czech rock",https://i.scdn.co/image/ab67616d0000b273757bc11a921f247ba50af123,4JLSYUzsDNU1OFuxgZp3gN,Czech Republic
Konrad Bayer,Unknown,https://i.scdn.co/image/ab67616d0000b273353ec9bf548d40dcd712b56d,3UYSXdjE03YsCZVpa8qMsq,Germany
KyonPalm,Unknown,https://i.scdn.co/image/ab6761610000e5ebb738bc5915a48503aea6eed5,6D3vHFavzQh17AAnG4yLwt,United States
Mennonite Children's Choir,Unknown,,6OfJM3MJs9Gry7mcK3G7IQ,Canada
Mike Del Ferro,Unknown,https://i.scdn.co/image/ab6761610000e5ebab0163c1d318539e0fe32e36,0TNH4nP9pt2WmRcbmFn8kr,Netherlands
Nightlands,philly indie,https://i.scdn.co/image/ab6772690000c46c2a7bc82c8402650b596cc091,6j1PJ7qiMlHAzkyPN3ldN6,Italy
NightMen,Unknown,https://i.scdn.co/image/ab67616d0000b27356b04f2510a93574bea48619,4P38teNScZTYGbIwxKA3YU,Sweden
PtyLtd,Unknown,https://i.scdn.co/image/ab67616d0000b273af9490b9d68db347492f159a,2sTY3GgvG57VgK6DeWQElQ,Israel
Persone,esperanto,https://i.scdn.co/image/ab67616d0000b273f69fbc91d3589d5d90cd8423,5D2vpXIfVHqiZ6Oy2MrMPp,Sweden
Pierre Dudan,vintage chanson,https://i.scdn.co/image/ab67616d0000b273135dc681c478d615144db93e,4ABooodM2sswxtDyK36VIn,Switzerland
Rachel Goldstar of Experimental Aircraft,Unknown,,0sHPbzZgXw9h9KosifxSHt,United States
Sharon Prabhakar,Unknown,https://i.scdn.co/image/ab67616d0000b27380c6b996fba435185a64458e,1DZNWhh97RmSncbvjuRYgC,India
Spitfire Boys,Unknown,,0svNYu6ljX6NmZ4AI5j7e0,United Kingdom
Streetwalkers,Unknown,https://i.scdn.co/image/ff06d341ac467b780e819747ac41600a767edfe2,3rvx9SC1pGxAhPozxthPMT,United Kingdom
Svart Parad,d-beat,https://i.scdn.co/image/ab67616d0000b273a864759ba08e2d7da3f23109,2bzI6JowA27LyUTMiAqr0j,Sweden
The Wild Things,Unknown,https://i.scdn.co/image/ab6761610000e5eb226998535259a0fdfe46668f,3gyWgrksQ64Exb1SUewhOk,United States
Visceral Rain,Unknown,https://i.scdn.co/image/ab6761610000e5eb4b098173a5cbf7ca03293401,0iXGgjkn97AolhD6yR3FbO,Italy
汪蘇瀧,Unknown,https://i.scdn.co/image/ab67616d0000b2738edfc5c3a3aa20a0be5e376b,4G4Frpp5Le8K2zX5vxW4iE,China
Aaron Jasinski,Unknown,https://i.scdn.co/image/ab6761610000e5ebda9641a3a0c1ef0a606094c0,5E2xU74raXsdW9uXde8l1r,United States
Angelababy,Unknown,,4lJW1ceYn1sfOTW5qc2bPr,China
Ayşe Tütüncü,turkish jazz,https://i.scdn.co/image/ab67616d0000b27351565bb26068e8e5e76c3934,6a0HZdbm6DuHSVPNEUxUf1,Turkey
Banket,slovak pop,https://i.scdn.co/image/ab67616d0000b2733e623704eac70f40700d2b2e,5oFCXf4qzdeuFEz1BMb9so,Slovakia
Sea Of Bees,sacramento indie,https://i.scdn.co/image/6f49b34fe98d5ba5ac71c0e9b13e53c424cd899a,1XyjnnaEzBNvJr1ujxFjCd,Italy
Boobie Trap,japanese melodic punk,https://i.scdn.co/image/ab67616d0000b2734bcfc15a8b24cd568bcd919a,5GaSi0OMO4Lj5khloptdZ3,United States
Cholo Valderrama,"folclor afrocolombiano, folclor colombiano, musica llanera",https://i.scdn.co/image/ab6761610000e5eb9076745c2fdbb85039075996,4yLRkOFGOz0zUlQ2AkjzAm,Colombia
Cuntscrape,"goregrind, pornogrind",https://i.scdn.co/image/ab67616d0000b2730707e81d07567b53908fd5f6,4IWh5ciqwNfEeMF2SU42Oq,Australia
Dan Baird and Homemade Sin,Unknown,https://i.scdn.co/image/daa4bada799d0ac9c5bc92d216143622c0751d99,2uZuSdsqqPO50CLGpB1Q7H,United States
Dolly Gilmore,Unknown,https://i.scdn.co/image/ab67616d0000b2730efd4de0b45f6a3962f2e586,19Z7ddY8m57yt97C7Is2YY,United States
Eddie Morton,vaudeville,https://i.scdn.co/image/ab67616d0000b273de8ded30dcb9216581a27d70,6ieMVsBvzjYOR7a44QdIoe,United States
Ellie Pop,beatlesque,https://i.scdn.co/image/ab67616d0000b273afdd8eb93292f6d28a7faca2,3wNudxiR0irZ2w8xlXBJid,United States
Ephemerals,Unknown,https://i.scdn.co/image/ab6761610000e5eb3655011c95cb38d7c2960734,3iKatcdLBE1YxiAyvcow4w,Canada
Gabriel Crouch,Unknown,https://i.scdn.co/image/ab67616d0000b2733d726a21fdde76ab962b5199,7dhZwVDKTpsW41hHlUuGoT,United Kingdom
Harvey Quinnt,belgian indie,https://i.scdn.co/image/ab67616d0000b273bce5758ff2b40e6c2397cefa,4V7AKDoJi42OEUvvJstG9h,Belgium
Jang Senato,Unknown,https://i.scdn.co/image/ab67616d0000b2731ce37ab46526248c06d15c12,2x5ZklNlq9QpCXZBaTHgnr,Italy
Jesse Sprinkle,Unknown,https://i.scdn.co/image/ab67616d0000b273103a3056389a651421a73ae0,7xwzQcosd8wFfzicqYSSa5,United States
John Vella,Unknown,https://i.scdn.co/image/ab6761610000e5ebcc9e0c99dde061848e4bd2bb,5PUpFdUUEaqN5oAdXyM6EG,Australia
