artist_name,artist_genre,artist_img,artist_id,artist_country
Dead Monarchs,Unknown,https://i.scdn.co/image/ab6761610000e5eb4c364f0bb500038bc5720b9c,5Wt9hZJuuksxQsNCtI9x1D,United States
Mr. Sche,memphis hip hop,https://i.scdn.co/image/ab6761610000e5eb590ec7040af2089cc0a3985d,2InAixh0wal3ODxRg678gV,United States
Louis Spohr,"classical era, early romantic era, german romanticism",https://i.scdn.co/image/ea8f6df214e5377352d60bfd459f2be7533ab1bd,7MzxeLpsMxTk4HDBG6C7rq,Germany
Since The Flood,beatdown,https://i.scdn.co/image/ab6761610000e5ebdf8004c943a07cc129f23ba5,6408Rg27uty5kTKuQhxH9a,United States
Black Anvil,"nyc metal, usbm",https://i.scdn.co/image/ab6761610000e5eb66352134a081bcebfe4ea8dd,1cM8mJWhWU9X0w4wpoQAQI,United States
Claudia Koreck,"german indie folk, munich indie",https://i.scdn.co/image/ab6761610000e5eb86b3e7ee722ff36e78a6b321,7eSlYKQtDIu8oYIDmFLlAA,Germany
Eventide,Unknown,https://i.scdn.co/image/ab6761610000e5eb6c1ab5083b805e11b053aa20,2LXD6fOM8RRfhmF3duZqnV,Italy
Big Lois,flamenco urbano,https://i.scdn.co/image/ab6761610000e5ebd3700b67c534b7ce12017789,6SSd8YlAkq26bt11sct3Uo,United Kingdom
"He Was an Artist, She Was a Carpenter","midwest emo, new england emo",https://i.scdn.co/image/ab6761610000e5ebf32e57102b0aa7e01dd6c8ce,1L8qgCGQtaYlaETtq4Ih65,Italy
Celvin Rotane,bubble trance,https://i.scdn.co/image/ab67616d0000b2737d94c7bfe4971003db1db17d,2FAPHrXfRZ2Fi4BF66KLgE,Germany
Claude Thornhill,Unknown,https://i.scdn.co/image/ab67616d0000b27358d0e2184fe3707e91d44f6c,6ThTN0WCRCAtG00Htf7CUW,United States
The Rockin' CJB,Unknown,https://i.scdn.co/image/ab6761610000e5eb1d5a70c5bbfe87006d52a2e6,29MrkEEHOU5icmFXxLe0OV,United States
Mountain Heart,"bluegrass, instrumental bluegrass, neo-traditional bluegrass, progressive bluegrass",https://i.scdn.co/image/ab6761610000e5eb84bbec75624ec81e8eef5d8a,0V6tfevNowzUPFTrEQTJE8,United States
Wrinkle Neck Mules,"alternative country, modern southern rock, roots americana, southern americana",https://i.scdn.co/image/ab6761610000e5ebda8bf753137c8082ba8add8e,5KQfmZXSSvisByWRzGuOwz,United States
Bonnie Banane,"electro-pop francais, french indietronica",https://i.scdn.co/image/ab6761610000e5eb4acea36ed305deba1cd74cca,5krZkab66mF2eexXFJv0A6,France
Mob Figaz,hyphy,https://i.scdn.co/image/ab67616d0000b273ec8a3186e55691d738e721e1,3CGaABXUZ7Nai3aGONcxq6,United States
Roger Webb,library music,https://i.scdn.co/image/ab67616d0000b27367d278102a6833fdce9eef12,6ZfH4kBv9tPVIfklLH36jO,United Kingdom
Scan 7,"detroit techno, techno",https://i.scdn.co/image/ab67616d0000b27321c7a44fb5ad37ff6a742f89,1BuKBdhjA2GxwmbcYo4Jnl,United States
Captain Tractor,"canadian celtic, canadian indie, celtic rock, edmonton indie",https://i.scdn.co/image/ab6761610000e5ebe1c112cff442460946f922e7,4zED0XFewsiH36pdfLQbsT,Canada
David Poe,Unknown,https://i.scdn.co/image/ab6761610000e5ebd07f740a0cb6e6674e8f9a09,2EM2EGYBrMa52ABtAKn5dv,United States
Kidstreet,Unknown,https://i.scdn.co/image/ab67616d0000b273373c9642940e71943b3f7849,2458qljbQIXKoOBb7KdyYy,Canada
Hermanez,"belgian edm, organic house",https://i.scdn.co/image/ab6761610000e5eb976e20918e4bd40185351ec1,4JPGyWMMmaxIRcS4zItdHJ,Belgium
Bobby Baby,Unknown,,3jkbfLnkxpMfusgrQH5DHa,Sweden
Fading Colours,Unknown,,01OZlWCSEl2ZCzSVb9WAmS,Poland
Lost World,Unknown,https://i.scdn.co/image/ab67616d0000b273e55c1819d468e4c3f67f8051,18c3QvPvFipaYYVRh9PFKM,Germany
La Granja de Zenón,musica para ninos,https://i.scdn.co/image/ab6761610000e5eba6572919fef3ad25fb3c3bd3,7eVIbeFWMpfMVHR20GJ4PT,Spain
Diocletian,"black death, nz metal, voidgaze, voidgrind, war metal",https://i.scdn.co/image/ab67616d0000b27380a9c7b84160fafddce1a182,6kEQuZgj4hm2mE2ZfZ6mcD,New Zealand
James Hype,"deep groove house, house, pop dance, uk dance",https://i.scdn.co/image/ab6761610000e5eb3735de17f641144240511000,43BxCL6t4c73BQnIJtry5v,France
Bloodboy,Unknown,https://i.scdn.co/image/ab6761610000e5eb87b262dd9ee578ab49ac777a,1M102Mc2K7T9L4WLZvuQdY,United States
John Brim,chicago blues,https://i.scdn.co/image/ab67616d0000b273c861127f71ee0b563ee32761,7sdvOvyRT6ZFBv5rura7xI,United States
Everywhere Brown Noise,"color noise, white noise",https://i.scdn.co/image/ab67616d0000b273870eecbe76dbac940f4e17c0,4r6joVLgbTD7M07z1KIooA,United Kingdom
Stonegard,norwegian rock,https://i.scdn.co/image/ab67616d0000b2731f241ca965142d13dcb4b287,68b8c76jEyXw3XCAeXYcFY,Norway
André Sobota,"minimal melodic techno, progressive house, progressive trance house",https://i.scdn.co/image/ab67616d0000b27397af2379b7d0080d06375e78,0Tdo9YdoMdoj41B2KNTywZ,Brazil
Hans Werner Henze,"21st century classical, austro-german modernism, avant-garde, contemporary classical, early modern classical, german contemporary classical, serialism",https://i.scdn.co/image/37591871decb731b1b6e0ebbbb906c290c256771,7xkiLJgEoKMVDgTh0s2Mqu,Germany
Stacy Clark,Unknown,https://i.scdn.co/image/12e02bf8ec682ef38a81259b9d9bb47764d6ea70,2qU80a3Lpgtv0L4Szptck1,United States
Taylor Swift,pop,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,06HL4z0CvFAxyc27GXpf02,United Kingdom
lil Rascalz,Unknown,https://i.scdn.co/image/ab6761610000e5eb72b34b005fcc93d0d1950298,1Fe2Wzxs74bwJHSFDhD7JC,Canada
Alison Balsom,"classical performance, classical trumpet",https://i.scdn.co/image/ab6761610000e5eb9d87c3855c4d2b634b1de05b,44Z5ZP2F1omniNpGEdNDdt,United Kingdom
DJ Harrison,"abstract beats, indie jazz",https://i.scdn.co/image/ab6761610000e5eb9cdb9e370dd8860ab9e9d92a,6gU7qtF5B31WwdgkNwF1XK,United States
Melissa Steel,Unknown,https://i.scdn.co/image/dd88eb5f33492b2b5fdfdf91503bb280d05404b5,4NANaRSl8fuDZ3wMlQCVmf,United Kingdom
Sandra Kolstad,experimental pop,https://i.scdn.co/image/ab6761610000e5eb039375d5aa477e1ad9b0d396,6m4hXPB2X1uP0prJM24OuD,Norway
Bernadette La Hengst,hamburger schule,https://i.scdn.co/image/ab6761610000e5ebb7fd4721ad97a7ffe55e7d59,2Q0qVuCsb0Yb9kSY8Uic2h,Germany
Milton Mapes,Unknown,https://i.scdn.co/image/ab67616d0000b273fa601cfe26272737bb5b24ca,1JJfeMxkbhRez0oYGCongk,United States
To Destroy A City,atmospheric post-rock,https://i.scdn.co/image/ab6761610000e5ebc585c71e333faa374e3ab47c,2G7CfHxIMSlEHZdOlOgJNE,United States
Forty Thieves Orkestar,Unknown,https://i.scdn.co/image/ab67616d0000b273f923de90227bb9a1f1c4b182,35GnvuzGSoFFZFSMY6L34z,United Kingdom
Rickolus,jacksonville indie,https://i.scdn.co/image/ab6761610000e5ebea9e33ea0ec3288d797fca33,5vzJRICN1EYw1evNQ55Ttl,United States
Jan Bradley,chicago soul,https://i.scdn.co/image/ab67616d0000b273ef6de1c14aee9cdc19318584,4tPAbp9qF8nR9becfJGQCZ,United States
Johnny Yono,progressive uplifting trance,https://i.scdn.co/image/ab6761610000e5ebebf765f4bb1785237514c84f,2TNk3UDiqglKBdr544O5D0,United States
Last Witness,ukhc,https://i.scdn.co/image/ab6761610000e5ebbdf6fc217ad5bf89f3d27fae,6bRMFPIs0o3zdDZFcBn4LI,United Kingdom
Sideways Seized,Unknown,https://i.scdn.co/image/ab6761610000e5ebe1a351da55948c8b90279712,4KohIJQhSAmwv0cLlstpmo,United Kingdom
High Voltage,rain,https://i.scdn.co/image/ab6761610000e5ebea1b1d49601089491c208c5a,5EPNlMKDjvTsmvvoCjZcnl,United Kingdom
Wish I Was,pop edm,https://i.scdn.co/image/ab6761610000e5ebb7aec80cc9db929537c1c2ac,4VbviNI348014tlDIHdL33,France
Moderne,"coldwave, french synthpop, minimal wave, vintage french electronic",https://i.scdn.co/image/ab67616d0000b273ce8e9d89c966eebcc9cf7144,403x0fTWTfDHsV9PYkGFTe,Canada
Kaly Live Dub,"electro dub, french dub",https://i.scdn.co/image/ab67616d0000b2732c82c5ae665b0482ccf6b107,4dyGMrZuFcRHXwlsqEEuxj,France
Artist Vs Poet,"alternative pop rock, neon pop punk, pop emo, texas pop punk",https://i.scdn.co/image/0078316432cdfb6733c3bde0dc61754d45442d0f,3kYFawNQVZ00FQbgs4rVBe,South Korea
Jääportit,dungeon synth,https://i.scdn.co/image/ab6761610000e5eb905ce546f614f2ca4b3b5bc5,0bYL1OjVRgSCEuRxCxvHh4,Finland
Shabaam Sahdeeq,"deep east coast hip hop, flick hop, underground rap",https://i.scdn.co/image/ab6761610000e5ebc4c4f3c76f4ef03097553480,4QkvJ0yMim6MCmN3i0RnCH,United States
Aeternitas,"fallen angel, gothic symphonic metal",https://i.scdn.co/image/ab6761610000e5eb81eeaad4444bdfc5c516b1c5,3TYuNFdUzcXvc9aSdg3Dy3,Australia
Panamah,danish pop,https://i.scdn.co/image/ab6761610000e5ebee930a268a657e0411b2778b,3SyJZpVRYuncgXPtjAceOJ,Denmark
Ruby And The Romantics,rhythm and blues,https://i.scdn.co/image/ab67616d0000b2733e239f57407bf8baef5b38a4,7y0ngZzIllkP8ZOqgTKQFc,United States
Maxnormal.tv,"cape town indie, south african hip hop",,6klB70v9fPkNc3IKDORAW7,South Africa
Azaxx,Unknown,https://i.scdn.co/image/ab67616d0000b27390ebad0477cdce7b09a2a540,2iXJ4XwdGXjnVuETOn7mU6,France
Chris Herbert,warm drone,https://i.scdn.co/image/ab67616d0000b27359380fce2788cbbcfa6e768b,6XxwTfVybaeppEzzkwCjuv,United States
Night Panther,Unknown,https://i.scdn.co/image/ab6761610000e5eb68b56012fede578460d7914c,52osmvkpYYDrNSDb1b2HEc,United States
CODE KUNST,"k-rap, korean r&b",https://i.scdn.co/image/ab6761610000e5eb02425eaa181c0959ea137105,4WnO2VmlwdTX77ANsThWLQ,South Korea
Gilbert Gottfried,Unknown,https://i.scdn.co/image/ab67616d0000b2737b80458708dc37681b658a2b,4GTwpdUZ6qDJFXHaIOtXtX,United States
Pigeonhed,Unknown,https://i.scdn.co/image/737c230c424a989b951e03ff80fbdc383a5079ae,7C5dkQXLoTE3OFE5qBTrBB,United States
Healy After Dark,Unknown,https://i.scdn.co/image/ab6761610000e5ebc8e560ff812d7ac74cc7eb9e,5xRllYZrqUU5by4KMyz9cY,United Kingdom
Total Slacker,popgaze,https://i.scdn.co/image/ab6761610000e5ebdb4c31c9ac1ee4b9fe76db1f,1rYMX0uOOILJdtPCUGaSdv,United States
Big Mike,dirty south rap,https://i.scdn.co/image/ab67616d0000b273e65fca39f45b07aeb243fa68,0nrUyKsdgzlKT6KpTcPhjA,United States
DJ Big Mike,Unknown,,2ijpF2fuuiXsVT2fAQwQ0f,United States
DJ Technics,bmore,https://i.scdn.co/image/ab67616d0000b273bd75422afa9efea58e9537f9,6hjL3Bio8qtNcPTCpuIlhG,United States
Rolando Villazón,"classical tenor, opera",https://i.scdn.co/image/ab6761610000e5eba45163db75b9d973abee410e,3BbwO46TU61EPYFcC9l9Lq,France
大黒摩季とフレンズ,Unknown,,2ABuS9OXyBBPXWuhIlv5Qq,Japan
FALCHiON,j-core,https://i.scdn.co/image/ab67616d0000b273cdfa60f6dfacf9488d5ed8cb,0AVwoTqXBWS5ONMgqfuxmT,Finland
Taboh Sape,borneo traditional,https://i.scdn.co/image/ab67616d0000b273dfa39d3f7d3d3230101e4f96,5V0h1vN2Kayj07snZ9i7r9,Italy
Etna Kontrabande,polish reggae,https://i.scdn.co/image/ab67616d0000b273e3485197f3ad8ddf35f05b6d,1PIlo84ybuKtOXvb1OsEIE,Poland
Sulumi,"chinese electronic, chinese experimental, chiptune",https://i.scdn.co/image/ab6761610000e5eba1aaa6817e21524b06fc2405,2K3t5MwIz2PtQ6w4PciTF9,China
BigTreeSteve,Unknown,https://i.scdn.co/image/ab6761610000e5eb16a8da5003387132d3b727ac,0CgDze7ow0lp695XZmzyaj,United States
Darkestrah,"epic black metal, folk black metal, oriental metal, slavic metal",https://i.scdn.co/image/ab67616d0000b2730c05d791a99cafdb4aca89f8,2p4o8dimVkgrBEdDr4Q90p,Germany
Sculptured Music,"south african deep house, south african house, south african soulful deep house",https://i.scdn.co/image/ab6761610000e5ebee578683429723075075a7cb,4YPDYlOGASYfWCFzUBUBKN,United States
