artist_name,artist_genre,artist_img,artist_id,artist_country
Los Shain’s,nueva ola peruana,https://i.scdn.co/image/ab67616d0000b273317fe8061221beaff6571d6a,4VJUqAAhHyKKbFXEnBPLDA,Peru
The Suicide Machines,"punk, ska, ska punk, skate punk",https://i.scdn.co/image/ab6761610000e5eb2a8cc37ce9ce411fdf8cdb49,31v7ijnAMVL9V7Uzr1sFcI,Belgium
Noise Gust,"dark psytrance, deep darkpsy",,3po5yxEH7ILumQzLqqnKNZ,Japan
Shermanology,"dutch house, tech house",https://i.scdn.co/image/ab6761610000e5ebc4882ccd70c56733e4118bb1,4Siyzg8kWayQfPQsPSl6JI,Belgium
Kenji Niinuma,enka,https://i.scdn.co/image/ab6761610000e5eb402b2978270ca2782df09612,4eZxAuDEWugT2KHS32AIkA,Japan
Gerald Walker,soul flow,https://i.scdn.co/image/ab6761610000e5ebce7172cb890b8397c23d2e63,3zSM6eDCxFSNzPMMwu3awR,United States
Lowroller,"dark hardcore, darkstep, industrial hardcore",https://i.scdn.co/image/ab6761610000e5eb9b1cac2db5fcdd88e152ec02,3jQSKka1OAFLo5RVqmzIO1,Italy
Nucleo Terco,"spanish punk, street punk espanol",https://i.scdn.co/image/ab6761610000e5ebeafb887fa9414bf33108d362,2wsG4oMP5UI9MapWrtbzbn,Spain
Palya Bea,hungarian folk,https://i.scdn.co/image/ab6761610000e5eb4f55873224315cb221782ecc,7KRmqRSdAGjiSDns2qsdQ8,Hungary
Robert Strauss,Unknown,https://i.scdn.co/image/ab6761610000e5ebc55e3d68c769f773c268189d,3GWkz1BXFgGQxJCrVfqJaG,Canada
Salt 5-1tray,Unknown,,42YryF8iNX1DS42Oqq50wg,Japan
Naomi Sharpless,Unknown,https://i.scdn.co/image/ab67616d0000b27373fdab37a1063b65655bb6c0,4RCWj8uksjNmy6ERaOxLui,United States
Les Artistes Maajabu,african gospel,https://i.scdn.co/image/ab6761610000e5ebddcc049c87a10fd3ad940f96,6wwhO5PsicwoD7VyCRQakr,Italy
The Creole Choir Of Cuba,Unknown,https://i.scdn.co/image/d62ce567baba58b9a36a38f012960e4565f49236,53Fz1NF4gHhD1bdDr6DyEM,Cuba
The Drum Club,Unknown,https://i.scdn.co/image/a2e623e238642501b836642137975c8a6c5f55e8,6xU9ziz0wfaROIaNYCZomL,United Kingdom
Valerian Swing,italian post-rock,https://i.scdn.co/image/ab6761610000e5eb9d9febc171448aef4245644d,5tj8t2rXNyMRpER4EbFU93,Italy
Перемотка,russian post-punk,https://i.scdn.co/image/ab6761610000e5ebe6b7b1ba1970495de3167c16,3AwNBhYb8tZmJ5m0VIKHp2,Russia
Taylor Swift,pop,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,06HL4z0CvFAxyc27GXpf02,Japan
Gianni Marchetti,vintage italian soundtrack,https://i.scdn.co/image/ab67616d0000b2732eb3304c66d457de3974809e,6XjTitRQKvxLn4iCAmY2sH,Italy
Las Ondas Marteles,Unknown,,14rlxA9wP30kVBzurCFB5f,France
Omnihility,"technical brutal death metal, technical death metal",https://i.scdn.co/image/ab67616d0000b273f2c31c35c219a8bc231ecfab,33bsYnK2sJUEsUIbmsCO4O,United States
Randy Scruggs,Unknown,https://i.scdn.co/image/8d8235b4a5726f4bd027c21819491e38dcb4593c,72UHy1aUed3uIQmH90XjFN,United States
Sam Browne,british dance band,https://i.scdn.co/image/ab67616d0000b273e53f0d3bf5c3d4a63350dd95,4Eb6oK7c58Lag8Tu6VODk6,United Kingdom
States & Capitals,hopebeat,https://i.scdn.co/image/ab6761610000e5eb3d4154773fa9e406d1eae29d,790UjtODOzqAYB4O4RLJxR,United States
Tiny Meat Gang,meme rap,https://i.scdn.co/image/ab6761610000e5eb41ba5a32be56f7d699ca8690,072QZuLtCqlAesYnOGY7lN,South Korea
Bezegol,"portuguese rock, rap portuense, reggae tuga",https://i.scdn.co/image/ab6761610000e5eb115cd86a0c1be4c7e4e8a905,6lCt4RGbnTCT1NN2lEENh5,Portugal
