artist_name,artist_genre,artist_img,artist_id,artist_country
You Me At Six,"modern alternative rock, modern rock, neon pop punk, pop emo, pop punk",https://i.scdn.co/image/ab6761610000e5eb3400da00149730d222967ee8,1kNQXvepPjaPgUfeDAF2h6,Canada
Warmer,Unknown,https://i.scdn.co/image/ab6761610000e5eb8e5e46c1ee4c3cedf07705c7,5VufqDMxkMRyBqN7dg4Lyl,United States
太陽とシスコムーン,Unknown,https://i.scdn.co/image/ab6761610000e5eb73a33852e9b1a79d7dbb3703,5Rm0zNH07q0eaxE5Iz0Ekl,Japan
Autotelic,"opm, pinoy indie, pinoy rock",https://i.scdn.co/image/ab6761610000e5ebe47541cd3c4c0a3d470dd364,3Hvxz2oZPYuo61ChHKcqQI,Philippines
Bootblacks,"dark post-punk, modern darkwave",https://i.scdn.co/image/ab6761610000e5eb8bcb5b15fef2105e6e8e0d7a,1TBjRSfTF73IxXTWJZDqjt,United States
The Finishing School,Unknown,https://i.scdn.co/image/ab6761610000e5eb7913b6b61598a5766f42b075,4rN2EzODaLQF9Pof7vO06m,United States
Jean Plum,deep southern soul,https://i.scdn.co/image/ab67616d0000b2730f1829d8cf3efbd0500eaa58,4YZC9NEA3umWGpzbzgJ3xN,United States
Murder King,turkish metal,https://i.scdn.co/image/ab6761610000e5eba2e2b996722494c5e6ef38dd,1ptBI7xKk38agbcEThoubT,Turkey
Patrice Michaud,"auteur-compositeur-interprete quebecois, rock quebecois",https://i.scdn.co/image/ab6761610000e5eb6f9ca5bdc083e96aead019e3,5qwQpqVBAApujajOflaRz1,Canada
SACRILEGIUM Official,polish black metal,https://i.scdn.co/image/ab67616d0000b2737ed025369ef41b05beb7d944,14HOqahim1UwsPtZGqqVWj,Poland
Tom Lüneburger,Unknown,https://i.scdn.co/image/ab6761610000e5eb8723d2e1953e94f83eda7484,0TXmTDbnJ7HPA4mlAWtVk1,Germany
Aşık Mahzuni Şerif,"bozlak, oyun havasi, turkish folk",https://i.scdn.co/image/ab67616d0000b27300887218d15411ad8c240e87,4kNfut5xtwFz4AraRDFarT,Turkey
"Aaron Johnston, Jesse Murphy & Avi Bortnick",Unknown,,2qTPlHQKtZ9zu7isOm6TFJ,Canada
Dinho Ouro Preto,Unknown,https://i.scdn.co/image/ab6761610000e5eb9fda7109fb70ce2d1263f68a,6ysWe8Q95VUwcU6LKaY4Rk,Brazil
Edward Stachura,"poezja spiewana, sung poetry",https://i.scdn.co/image/ab67616d0000b2736caac492bb61731fb90aacee,2UkHqLTpPBhGBQuo0cNHZJ,Poland
FENCE OF DEFENSE,classic anime,https://i.scdn.co/image/ab67616d0000b273c1caf345a5cbcd120e1fad35,6iGUDrvbELISEYrhDxSLGr,Japan
Crook da General & Sol,Unknown,,0d1lWHR6yQeJsNmmPrq2rh,United States
Jerry Jaye,Unknown,https://i.scdn.co/image/ab67616d0000b273a673475d9477374fd360ea5b,34LPrj2jJHyeenP4sURa7N,United States
香椎モイミ,"japanese viral pop, jirai kei, vocaloid",https://i.scdn.co/image/ab67616d0000b2734c68ba6b949b41c5a4863009,09bfsJNaKxdLPpxiX1kfwZ,United Kingdom
Manuel Bienvenu,Unknown,https://i.scdn.co/image/ab67616d0000b2735c7761055a84e2d42760e69c,2K0wfZBxDWauAmvtXheMa2,France
Mika Goedrijk from This Morn' Omina,Unknown,,5L81qChdsOKVUqkPMQR7Hl,Belgium
Over the Rainbow,Unknown,https://i.scdn.co/image/ab67616d0000b273fa8ca925d2fa3769954611a3,3bgDr37XiV3VpUJu2yTNXk,Japan
Terror X Crew,"greek hip hop, greek underground rap",https://i.scdn.co/image/ab6761610000e5ebfda61c0cd37459787de675b0,6BcH8kXMcqk9uQvqJdCWCp,Greece
The Crossing,"21st century classical, american choir, contemporary choir, modern performance",https://i.scdn.co/image/ab6761610000e5eb71842b3f798ff1cba7e96810,4NkGaKb4OJ9WbmZVerDjCy,United States
Toxic Lipstick,"pink noise, weirdcore",https://i.scdn.co/image/ab67616d0000b273d2f9d9b9a253c081cc2c5ddb,19kXuLe5dKjBrjwc9b0FD5,Australia
Whipstriker,"black 'n' roll, black speed metal, black thrash, new wave of speed metal",https://i.scdn.co/image/ab6761610000e5ebda353799247f1b4659fe462b,0YnwkwC5c3EGvj9h7QLhCH,Brazil
Dirty Stop Outs,Unknown,,7lplLDJ4Jdv5vBHBCpqUAj,United Kingdom
Dmitri Matheny,Unknown,https://i.scdn.co/image/ab6761610000e5eb906a7bb31b5ed82485b89848,5aY9FNNBDYF7VsJIVMtkjn,United States
Georgia Ruth,welsh indie,https://i.scdn.co/image/ab6761610000e5ebdf40ee2d575e977a2fa8d700,1cC7AosLJ1N2p9g9KFAkdU,United Kingdom
Honey Power,Unknown,https://i.scdn.co/image/ab6761610000e5eb6ee0f8b328eb3a86eb7ca11e,6uoJ7pmhWiPruIpDHIlpBd,Estonia
Jonathan Dove,"21st century classical, anglican liturgy, british contemporary classical",https://i.scdn.co/image/596d897728eb8c1ad6babbd143bd8f216d839152,0sdCVT40NVs1qzsPTUbtjK,United Kingdom
Patty Duke,deep adult standards,https://i.scdn.co/image/ab67616d0000b273777b6f4eb40a6184fa64d2c1,6VcPriC5JFrXJdtZ7OQjc4,United States
Shannon Swain,Unknown,,4Z0uha1wOdEAZdykS9OR8p,United States
The Droids,Unknown,https://i.scdn.co/image/ab6761610000e5ebb8e56af72c1ac3ee56dfe57f,35WKe0mgCmml1LWFvyEFum,United States
The Sugar Kingz,Unknown,https://i.scdn.co/image/ab67616d0000b273cfa3dc726703034066d564c0,43vdBcqFMaqRzE4zr4wn2p,Germany
Woss Ness,"dirty texas rap, houston rap",https://i.scdn.co/image/ab67616d0000b2737dfab6853b9578e58f5aa582,7AwjoITXTd0fHhNXXq0Hwq,United States
The Caretaker,"british experimental, hauntology, liminal space",https://i.scdn.co/image/ab6761610000e5ebc4942edcbc0cbfd915ea4e75,2uQn9OFibYuvEMqMuH1zaP,Germany
Digidudes,meme,https://i.scdn.co/image/ab67616d0000b273e9039840844cd8cd60974486,2LtzDIHs85KgGW3yiNpwzw,Belgium
Dr. Zilog,Unknown,https://i.scdn.co/image/ab6761610000e5eb8f2cd0bedfdb234e6be5b8a6,2ERCoVeHQmP8bPG35mV0ml,United States
