artist_name,artist_genre,artist_img,artist_id,artist_country
indxgo,Unknown,https://i.scdn.co/image/ab6761610000e5eba8a2a25a56b392045d050985,7fd06t6TKixv55U8YM4QHW,Finland
Jerry Galante,salsa international,https://i.scdn.co/image/ab6761610000e5ebfeca199f188fa92912667de4,0CBCvVe2O3zOZAOVmEgDo9,Colombia
Keith Apicary,Unknown,https://i.scdn.co/image/ab6761610000e5ebcfca81c0982141e13e3409fb,3VCZ7FaPY4AojraArrogK7,United States
Lorna Dune,Unknown,https://i.scdn.co/image/ab6761610000e5eb80653b4f385c2593dedaec7e,4kqHmnvE50ZrmByhpLktXU,United States
Marshall Arts,Unknown,https://i.scdn.co/image/ab67616d0000b2732982acf4bb39207fc7075478,4r65xb6yWHoefo9chOfJCh,United States
Mikaveli,"finnish dance pop, finnish worship",https://i.scdn.co/image/ab6761610000e5ebb2a50f4dbc011c870da8ff6a,0FRJ4d8qzn0TmKLZHc9etX,Finland
Nicholas Savard-L’Herbier,Unknown,,7DmwuiUyUMI5rxIEZPnYxj,Canada
The Orphans,"crack rock steady, folk punk",https://i.scdn.co/image/ab67616d0000b273b1c55c7e458281094df83c66,5E4ifxOsOrYHAsVJVrzQJ4,Denmark
Owen Westlake,Unknown,https://i.scdn.co/image/ab6761610000e5eb0d73a617f90208580b874833,2OdSWlu6iOzT4YsRJuvC8I,United Kingdom
Round Five,Unknown,,7ItCHEaF7ErLZr4vawpmZ4,Germany
Seventh Element,otacore,https://i.scdn.co/image/ab67616d0000b273b6da7b0edcc02fdfdf4c307a,5yZkMAZqTkUTMhsJnhxLR8,United States
Soulswitch,heavy alternative,https://i.scdn.co/image/ab6761610000e5ebfc2109c0de4bc993867db989,3dunJgEbGVjYFMmU0rTA1K,United States
Sufferatory,Unknown,https://i.scdn.co/image/ab67616d0000b273def6cbee77a0571f8b7aebec,0NDLXDgXcFXWEF3CztwMBB,Russia
Technouchi,Unknown,,0OS6AwzFNNZ93xUtfiDERn,Japan
Third Coast Percussion,"classical percussion, modern performance",https://i.scdn.co/image/ab6761610000e5ebaf65efede9b97731c0c3bfb8,7aQZO27ByZmD9uWUgA1lJA,United States
Winterblood,Unknown,https://i.scdn.co/image/ab67616d0000b273dc3eca11e4f09971335b20eb,1LdMSnMXeiQS6jh4HpX5Ie,Italy
X-ile,Unknown,,6iQce4LERObF8nhAI5UNaP,United States
X-State Ride,fast melodic punk,https://i.scdn.co/image/ab67616d0000b27388ef39d25277ab0952538cc2,0wnjDiFdVIuedHn3Y3SPZq,Italy
Dvice,urbano latino,https://i.scdn.co/image/ab6761610000e5eb57b2e761cfa68f7c247f2e60,6AGdwtcgVgS9ecOpNfZCed,United States
Artisti Italiani,Unknown,https://i.scdn.co/image/ab67616d0000b273b3bad3e0ea0a2f0f0544a34b,5XPrniVXXXD0021qH0ed6b,Germany
Aistė Pilvelytė,lithuanian pop,https://i.scdn.co/image/ab67616d0000b273f59e61a36246107413fe09b7,7ddScGn6pVEoNnhF7zbWIG,Lithuania
Ancient Core,"ambient psychill, psychill",https://i.scdn.co/image/ab6761610000e5eb9834f41ac2f16de7e501d8a4,6jLSkWPbT7LYovAc9NMJ5F,Romania
Bright Ophidia,Unknown,https://i.scdn.co/image/ab67616d0000b2731122bfd43b63bc53789c1dbd,6LFajJ39XurOGNTLhCTB3H,Poland
Buck Rogers,Unknown,,63vmna87OBzr9gxUbkdQcF,United States
DJ K-120,Unknown,https://i.scdn.co/image/ab67616d0000b2734bfd43dff63e0684e92aa43e,3CvFoAT6JKmJc3ZHDmloeX,United States
Das Flug,"antideutsche, elektropunk",https://i.scdn.co/image/ab67616d0000b273eee118d2bd1d3c18e6c20675,2H2dOb75TrBtm8TYPQoDzl,Germany
Deity Guns,french experimental rock,https://i.scdn.co/image/ab67616d0000b2738483167d96bbf4d49c4b197a,1Wcmmh4ZGNhMkDacfvENGH,France
Formal One,progressive trance,https://i.scdn.co/image/ab6761610000e5ebdde0f8e5cc1c3530a55ad89e,7t9RzoO6u80uVTQGEt5p59,Sweden
Formula One,Unknown,,3X1Gl7zMpk01Dw3O3VoPJF,United Kingdom
Fortíð,"icelandic black metal, icelandic metal, viking black metal",https://i.scdn.co/image/ab67616d0000b27333e661610d96e55ce0202de8,2Rr7YQ5wTdepFBHM6arzdg,Iceland
Lawrence Francis,Unknown,https://i.scdn.co/image/ab67616d0000b273a6a5efc74e6e727f697644ad,5ffwF5jg1UrjWXC0Nnzu4V,United States
Funky Boogie Brothers,bboy,https://i.scdn.co/image/ab6761610000e5eb9597cd03c31ef6d7600bafab,2qNBub6sbVMs50FsO2amDU,Belarus
Glass Delirium,progressive alternative,https://i.scdn.co/image/ab67616d0000b2735d37b5ca9139ec7c2ca607ba,0S0TohpX54GFMJnIVbvZPX,United States
Laikamorí,"peruvian experimental, peruvian indie",https://i.scdn.co/image/ab6761610000e5eb69d779a58be71dcc4f44d2af,6tHT8aihmp4Deu5zwyBbXa,Peru
Lord Flea,"calypso, mento",https://i.scdn.co/image/ab67616d0000b273b755a370d0b2e98b0068bb15,3ryjUpbTEoUMq2wj6H9u8M,Jamaica
Love Taps,Unknown,https://i.scdn.co/image/ab6761610000e5ebe9066cbd4ef5a1fb8a432b02,1hhGe3zKl4KYkAs215A215,United States
Madmen & Poets,german dnb,https://i.scdn.co/image/ab67616d0000b2732eb31a235c2ba9c9d8f7a99d,68EnbDfSQshwRZ3p2rwdAr,Sweden
The Tiger & Me,Unknown,https://i.scdn.co/image/ab6761610000e5eb91b25f546fd057fe15c6589e,4hbsnOng7c61eVtVIv2Gtp,Sweden
Olga Lounova,czech pop,https://i.scdn.co/image/ab67616d0000b273c9cba12865dfca9a338612f0,54QmrKYac7fH0EHiTX8oyg,Czech Republic
Only Boys Aloud,welsh choir,https://i.scdn.co/image/ab67616d0000b2737b72b8387baeb3f682bff05b,3eA1m2r37FwIG5MoO5WIZp,United Kingdom
Rae and the Ragdolls,Unknown,https://i.scdn.co/image/ab6761610000e5eb3aef328506a0a2c1873cdb4b,7es9ixcqezU5fxzMPN3qP0,Sweden
Ruthie Collins,country pop,https://i.scdn.co/image/ab6761610000e5eb5a6e617e020ef1b01544dc59,4qf3V2xmsI9GDIkQGlMfwV,United States
伊藤宏武,Unknown,,0i2NqSP4fp67LCKrh3ifZs,United Kingdom
Test Of Time,straight edge,https://i.scdn.co/image/ab67616d0000b273f99b34676b8f2db98e0116f2,2VQyH4i6lgZfva4Bc30dO2,United States
The City Lives,ok indie,https://i.scdn.co/image/ab67616d0000b273bb67e578ba503d349ecd736d,4BNpsDNieMnG7tlemZeDKn,United States
Tomas Tulpe,Unknown,https://i.scdn.co/image/ab6761610000e5eb2a134ef8aa10bc2b58d4632b,5O9jiRTMuQyYusVlm1g2cf,Germany
Kara Hasan,Unknown,https://i.scdn.co/image/ab6761610000e5ebef948f316a12c2e1dcf7d955,4WzT7eY3k2TRMvFLL0N9VX,Germany
サイダーガール,Unknown,,7GuWe73ukjWd8Ww7VixvCT,Japan
Blutsturz,Unknown,https://i.scdn.co/image/ab67616d0000b2731cabf90ee6a4880c670c3dce,0hz9FF8bpBOAIM7ZOFvwSa,Germany
Life Cycles,texas hardcore,https://i.scdn.co/image/ab6761610000e5eb9cd9287a582e94c8054b1bb8,5WHSGGx3me8mlgFab6Px8O,United Kingdom
Celia Cruz,"cha-cha-cha, cuban rumba, mambo, musica tradicional cubana, salsa",https://i.scdn.co/image/ab6761610000e5ebb58cbc73f2b755f60134c54b,2weA6hhVqTIN2gSn9PUB9U,Brazil
Dialects,Unknown,https://i.scdn.co/image/ab67616d0000b273eccd9f2922998cb8653ae36c,6NcGpDW3Lksd0IF7BxsEvE,United Kingdom
Drury Nevil,dark psytrance,https://i.scdn.co/image/ab67616d0000b2732a2a9c3d62c1115dc4375c93,2aBZotZLk8nux77TrdpCZY,Greece
Die Kleine Elisabeth,Unknown,,2Iv9kiNNFJBQ7P8ANxKgpG,Denmark
Fantazio,french experimental rock,https://i.scdn.co/image/ab67616d0000b2738cef3cd425d2128466bc3dae,1te2GR8HrGXwxgl4rNnmu3,France
Fleshworld,Unknown,,3dzFc223VUq9ZDK66uJNS2,Poland
How Comes the Constellations Shine,"cosmic post-rock, portuguese post-rock",https://i.scdn.co/image/ab67616d0000b2733a6fa269568794f4e0a9edf3,5ZpR0N0Aa0j53MgTQC66Lc,Portugal
Hugo Ball,Unknown,https://i.scdn.co/image/ab67616d0000b273514125704f1a1be825cb5167,0Vjsh8lHrbzq6zQFkCvIJu,Germany
Inner Space Zen,Unknown,https://i.scdn.co/image/ab67616d0000b27362b897a90d7c431472556096,6wc9Yi4Qb0A6mbkgpcfLi8,United Kingdom
Johnny Q. Public,"christian punk, deep christian rock, springfield mo indie",https://i.scdn.co/image/ab67616d0000b273c989317b7856ee7b7d0b8a17,0TLrBAUaGIFgurLKPIPaCi,United States
Laurika Rauch,afrikaans,https://i.scdn.co/image/ab6761610000e5eba9301ff418a2b85dc3e8cb43,40e2rgvxJ4SGOT2nRasTbC,South Africa
Leah Haywood,Unknown,https://i.scdn.co/image/ab67616d0000b273007f718b1ba07878e0cb5858,6kvkcogluXUBXdQzJy6Alw,Australia
The Black Mars,Unknown,https://i.scdn.co/image/ab67616d0000b2738d42a148f992b2e4d683adc0,6vxcLqBwxq7jRjldIvAOau,United States
Mergel,"deep darkpsy, hi-tech",https://i.scdn.co/image/ab6761610000e5ebc71b9f17461c76df8fd2f9b6,2ZIbhrf3qwzznbNhLez2kZ,Russia
Migue Benítez,rock andaluz,https://i.scdn.co/image/ab67616d0000b273dc692c0b030aa4ed8522ceba,0FkxmJuDGxjgJc3gqooRho,Spain
Moisés Santana,Unknown,https://i.scdn.co/image/ab67616d0000b273a048ae9ff49ea248ee4469bb,6SbBY8vrCY4vBhlVFBJXyd,Brazil
Solo Artist Saxx,Unknown,https://i.scdn.co/image/ab6761610000e5ebacb6a1310cd73308c2af0c5b,3EK1eCIbh3eDCkLdbMQHpT,Germany
Naked Prey Music,Unknown,https://i.scdn.co/image/ab67616d0000b2736f0d872b8714811c299df93b,22Q4imBtwtJmwtlkncY9qN,United Kingdom
Nilson Chaves,musica popular paraense,https://i.scdn.co/image/ab6761610000e5eb297ec208291f4d1a62c5c077,4zYQu7ptMqojPc163KarPK,Brazil
Paganland,ukrainian metal,https://i.scdn.co/image/ab67616d0000b273dcda7ac05eea4001a7e7536a,2FIcLpBB1FirpMWy1CBmS0,Ukraine
SkirmishBooty,Unknown,https://i.scdn.co/image/ab67616d0000b2730e5ff30ab831c32e7366484c,1El1ZI4juUb2TFGKwb37sW,Finland
Solarfall,Unknown,https://i.scdn.co/image/ab67616d0000b273e5edde775205e29c488e83ad,2UEXzegwDHWYW5pPukxBIH,Bulgaria
Sordid Pink,prog metal,https://i.scdn.co/image/ab67616d0000b2735ccd3dbb0d3378d2926b9020,5FSSocUbUylI8xOIj3mkEb,Peru
Source Of Tide,"deep symphonic black metal, gothic black metal, melodic black metal",https://i.scdn.co/image/ab67616d0000b2736e59c6ceb3901b379fd09459,1xKWwvtQAOXdCNsLz0Hso0,Norway
Tal B Halala,Unknown,,3S4HbFfsoDuifszdKABU1W,Mali
Tin Can Army,german street punk,https://i.scdn.co/image/ab67616d0000b273d909d60aa9e1d38a386eebdc,45uYZRAV0SJHiO0ldCI0MB,Germany
Vigiland,"deep pop edm, electronic trap",https://i.scdn.co/image/ab6761610000e5eb721f4065b22c51140737289f,3tLYpanVDomWAZqF82NPds,Spain
White Stars,czech country,https://i.scdn.co/image/ab67616d0000b273904fbd691ec54c48f9f470c2,6b5CB9SbxNUxfGEgYv7WHY,Austria
Whoresnation,"french hardcore, grindcore",https://i.scdn.co/image/ab67616d0000b2736a577f3cfdf18ce5a98383a6,5QtzZh6SpQvuKsXSSD0JDl,France
тема креста,Unknown,https://i.scdn.co/image/ab6761610000e5ebedc51d54fe45cc9b2db64a51,3ZNGLPRkrcWiN9UOcSzfwS,Russia
東京パフォーマンスドール (1990~1994),idol kayo,https://i.scdn.co/image/ab67616d0000b273a8dc80aa2f98b1da916e26ea,6fwRviahtvzpdsTDCZoUyu,Japan
Orchestre African Fiesta,Unknown,https://i.scdn.co/image/ab67616d0000b273600c6bfadd624bbd49da2f5e,46R76koeLuEAmMHgvFGY3E,Democratic Republic of the Congo
Anthony Inglis,Unknown,https://i.scdn.co/image/ab67616d0000b27300136abc2a95a7cce87293a8,6xIYKl4WjVgJMFI7dHZRSz,United Kingdom
Aurelian Andreescu,"muzica usoara, romanian rock",https://i.scdn.co/image/ab67616d0000b273c3291776e550dd331aad4a6b,5PV4HBNvuQHPy54G70kc3F,Romania
Benny Barnes,Unknown,https://i.scdn.co/image/ab67616d0000b2730fdc9c99a9d8d947b1f2ecfe,3W2wsHGIhbAE99A4RxP5eg,United States
Dixie Jubilee Singers & Bryant's Jubilee Quartet,Unknown,https://i.scdn.co/image/ab67616d0000b273f975c59574570332d61dab2b,6GLzOtcknkOzIfpUMbFPfN,United States
Captain Bud,Unknown,https://i.scdn.co/image/ab67616d0000b27335393a5ecf9c89a15e76bbd6,7s9iQOzaSTbTUSEuTCatKm,United Kingdom
Clarence Fountain,praise,https://i.scdn.co/image/ab6761610000e5ebd65d5d7eb63ea34e77560206,784MVRBMY8Iyc2iNSTxXfO,United States
Full Dark,Unknown,https://i.scdn.co/image/ab6761610000e5eb008ae0b1a8f34d9b5e31fa84,2P9bzMbmioswLJGv6sECG5,Spain
Det Sejler I Effekter,Unknown,https://i.scdn.co/image/ab67616d0000b2738f148d280eef0d4f6c3553d4,3Vdu2Ck7CNLnNMqML93jyn,Denmark
Down and Outs,Unknown,https://i.scdn.co/image/ab6761610000e5eb6f2332c10a3ffa7ddce15da0,0OLgyGt5sbQ5UbSyLjvPCx,United Kingdom
Elefante,"latin alternative, latin arena pop, latin pop, mexican pop, mexican rock, rock en espanol",https://i.scdn.co/image/ab6761610000e5eba40f5812b577a0528b459e70,5oYHL2SijkMY52gKIhYJNb,Hungary
Flannelmouth,Unknown,https://i.scdn.co/image/ab67616d0000b273da5e5d34563caafcb15749c6,0jY1x9zQWdqrPJOtMT02Sa,Finland
Fraktal,makina,https://i.scdn.co/image/ab6761610000e5eb9fdf1db3a8e544d937c8c806,3E3CNsYCMGVEbSoHw0dgLn,Spain
Frekkr,Unknown,https://i.scdn.co/image/ab67616d0000b273c1fb071e3d7e1f19a400dbde,0w2oEqbUscJcqwf1Z6JB9Y,France
Heidi Marie Vestrheim,bergen indie,https://i.scdn.co/image/ab6761610000e5ebaced3bb02949b52603be5b5e,3N7jBJUXAnsO06hOYWuvjz,Norway
Jazz Con Bazz,Unknown,https://i.scdn.co/image/ab67616d0000b273ea5e237823ba3bfcd1b246fa,5vRKc10MARDr7hRjamMTCP,Germany
Mind Driller,spanish metal,https://i.scdn.co/image/ab6761610000e5eb52b01b011dd2cb45ccc5a4c2,7vDMECFl5RLKV0QywC1pmX,Spain
Cafe Del Mar Artist - Newbeginning,Unknown,https://i.scdn.co/image/ab67616d0000b27310bdb30a94d9d57d6ed40650,7Cj4Lsh3tXZjmVnhp8kOyb,Poland
The Palindromes,Unknown,https://i.scdn.co/image/ab6761610000e5eb44361dabcd646ff9f6b69880,2LvjOOoYGlukiA0fFTBXZ2,France
Black Peters,melodic techno,https://i.scdn.co/image/ab6761610000e5eb71fabbb57f8c8e5a6c736334,38j9h7eaKo0g9dEDSXl1NH,United States
Pierre-Yves Macé,"modern electroacoustic, tzadik",https://i.scdn.co/image/ab67616d0000b273c42a5755a89face74ee00c6e,5lL1hvy6Nejcc6o2jWqW5s,France
Robbie Lee,Unknown,https://i.scdn.co/image/dd3e8d76ce708b172349882ebf37a01e6531def9,57KQ4HKusf66TbNJlDx3Cx,United States
Strange Behaviour DK,Unknown,https://i.scdn.co/image/ab67616d0000b273549634706bfeada2001206a4,1bNs3D8hCbxtM2eSrKJ50r,United Kingdom
The Farewell Bend,indie emo,https://i.scdn.co/image/ab67616d0000b273e0e6fd2f399ca2718085d3f7,5KL7fkHYWt71z8pX0Vun52,United States
The Great American Novel,Unknown,https://i.scdn.co/image/ab67616d0000b2738917f44b39ad3d3c25478bf3,6Jej0MzhLPFQnk8WFRRWfo,United States
Thomas Dimuzio,Unknown,https://i.scdn.co/image/ab67616d0000b273b4d58b73ae7723fee15634ce,5Dgt9RQigawYBOkyhRNG5m,United States
Todd Kerns,Unknown,https://i.scdn.co/image/ab67616d0000b273e3d539a8fbec4f4b40321e89,5z1rRHb3PIdVZqi0nB94W1,Canada
Wöyza,Unknown,https://i.scdn.co/image/ab6761610000e5eb853bba6483b4f864ef1e3340,7hx4njSkRWFQLUC8zWiETN,Spain
Ota Balage,Unknown,https://i.scdn.co/image/ab67616d0000b2731d76fd2f1aaa9333e34d8066,39Xd8VAaXrCaf9VOo0GQHk,Hungary
Karina Salim,Unknown,https://i.scdn.co/image/ab67616d0000b273786e7a7dff8fb768e809a872,3m1TfVElEGoRYEW4gnj0Wz,Indonesia
PM Artist Sessions Project,Unknown,https://i.scdn.co/image/ab67616d0000b2730472733b924bb5bffa468799,4MoCPQEZqegox8Ng6SUGrb,Japan
Bhadra Rajin,mollywood,https://i.scdn.co/image/ab6761610000e5eb1ea1e691d29945d1585656e3,2Z8xrdU7UXKkHgtJ3U4HZn,Japan
新山詩織,Unknown,https://i.scdn.co/image/ab6761610000e5ebccd5e00469284b0db8344066,23btfvRX7EGR4IjQZxWCQb,Japan
