artist_name,artist_genre,artist_img,artist_id,artist_country
CB45,Unknown,https://i.scdn.co/image/ab67616d0000b27358546870ca90d13e106525d4,4wYRdVsfAPFSJGMHThNJRQ,Sweden
Artist 12,Unknown,,69zCl5K7XeVrbgvwviLSzB,United Kingdom
Los Limones,spanish new wave,https://i.scdn.co/image/ab67616d0000b2737fc26a254013bc975347ea84,2TxuYhVD6D7s742uHwTZQ3,Spain
Wolven Ancestry,"canadian black metal, melodic black metal",https://i.scdn.co/image/ab67616d0000b273ff0c6b5446d162b429eec42d,5r7Zppt5gA1fypzJ7XCBMP,Canada
Niko Is,florida rap,https://i.scdn.co/image/ab6761610000e5eb99a8fed673b55251ecf2484e,7Ci28o541njEn2byuNfjfs,United States
Rude Boys with Gerald Levert,Unknown,,70CpaIiQvC8u1r98wkqCKn,United States
Anita Bryant,deep adult standards,https://i.scdn.co/image/ab67616d0000b27330b534b169fbc97a091376db,2M93P87MDGek6uzg7Jn7he,United States
RAC,"indietronica, metropopolis, nu disco, shimmer pop",https://i.scdn.co/image/ab6761610000e5eb1fd073cc30283438f8512ba6,4AGwPDdh1y8hochNzHy5HC,United States
Ralph Fiennes,hollywood,https://i.scdn.co/image/ab67616d0000b2737f8664ac30b43cf5f16231aa,3pZ60MK5NPuXtBVJx1OkbN,United States
알렉스,Unknown,https://i.scdn.co/image/ab67616d0000b27303dfade7b88437d162ed11ef,2mzTENSjmEXknEe0xjmKoK,South Korea
Maika,Unknown,https://i.scdn.co/image/ab67616d0000b2733e546181175d5b7cd5c6c43e,1LGl85BlPFIfQbr0Pr8DTB,Serbia
Physical Illusion,"deep liquid bass, ukrainian dnb, ukrainian electronic",https://i.scdn.co/image/ab6761610000e5eb2748914e3d35518b70f51719,2xay2zQ4atSkbPycbgaN1c,Ukraine
Stephen Brodsky,spacegrunge,https://i.scdn.co/image/ab6761610000e5eb1e4daf27c3eae779c0dfee02,7kcQqnnBCPSa28dVFfG43Q,United States
No Use For A Name,"punk, ska, skate punk",https://i.scdn.co/image/0cb9ccd4613535998165785d08028e614090ed18,5p3WimI9yquAF6Lqhlm4Ol,France
Marla Cannon-Goodman,Unknown,https://i.scdn.co/image/ab6761610000e5eb27aca85d6550e024324bed55,74uAZmRdVsXyRNOPAS2Zxj,Japan
榎本温子,Unknown,https://i.scdn.co/image/ab67616d0000b2739092017ccd15a26711681829,220wSohqXSlfHkj9wUcS8M,Japan
David Solano,Unknown,https://i.scdn.co/image/ab67616d0000b273ce32945d5009192ba0c1b944,5Si4Uvcq8M04F2MGzvufsW,United States
Devi Sri Prasad,tollywood,https://i.scdn.co/image/ab6761610000e5ebaa5350248841ba12e12467af,5sSzCxHtgL82pYDvx2QyEU,India
Exmortem,"danish death metal, danish metal",https://i.scdn.co/image/ab67616d0000b273bc8cb587f2f3c726e8788c6a,2d0ePDMGrushNpSvtQBlpg,Denmark
Kinanti Sekar Rahina,Unknown,,2le0S9fWUoLc6xLJ28Q1cC,Finland
Artist Vs Poet,"alternative pop rock, neon pop punk, pop emo, texas pop punk",https://i.scdn.co/image/0078316432cdfb6733c3bde0dc61754d45442d0f,3kYFawNQVZ00FQbgs4rVBe,Argentina
Anthony Newman,harpsichord,https://i.scdn.co/image/ab6761610000e5eb819502b4b4a80c04e3c700a2,6nZSDquq18qHswBu3ObBfn,United States
The Honkytonk Wranglers,Unknown,https://i.scdn.co/image/ab6761610000e5eb95591bd3036235b2f06b420e,0TERwNrBI1DT7zkcv5ugRY,United States
Kill Sadie,sasscore,https://i.scdn.co/image/ab67616d0000b273139e99d1aed1820940c1a259,16EqVFQdVcm1JPdL5URijh,United States
Manuel Cardoso,portuguese early music,https://i.scdn.co/image/ab67616d0000b273fe32222fd53e429da3039cc1,6FCLYfyWhx2C2yZg7ne9bB,Portugal
Zive kvety,"czech rock, slovak indie",https://i.scdn.co/image/ab67616d0000b27334e62c2b081c934c842ae1f5,5Sdehxs56D9zXmPdGXKWEF,Slovakia
Lilla Crawford,movie tunes,,18pAOZ9PvoRllQsjLXwYjh,United States
Reza Sadeghi,persian pop,https://i.scdn.co/image/ab6761610000e5eb8d3b935e36aa2ed5d20857dc,00J3XSB6tD4SGSFflGseDx,Iran
The Stoneman Family,"banjo, traditional bluegrass",https://i.scdn.co/image/ab67616d0000b273848c11c4399522fb2b60cc4d,5bAopxGHguW9fBCTlJuQir,United States
Curtis Eller's American Circus,"banjo, dark cabaret, gothic americana",https://i.scdn.co/image/ab6761610000e5ebfae69553148e6e67d543cf35,4SeZtiCHtXJGelrjpSlmTX,United States
DJ Madskillz,dutch tech house,https://i.scdn.co/image/ab6761610000e5ebf0433ed978abe425245a0890,4PSeOMuhbheCnYwduoBJDW,Netherlands
Goliath,indonesian pop rock,https://i.scdn.co/image/ab6761610000e5eb44c3ac3a3a09d9dd60dc6c86,0W2XGlZeQNpb2QatRn10YS,Japan
Amongst Myselves,deep ambient,https://i.scdn.co/image/ab67616d0000b2735a3d62c97fecd9b6a15d129f,5HVp7Z0k3DFNjlK7aw5PrH,Australia
Johnny Moore's Three Blazers,Unknown,https://i.scdn.co/image/ab67616d0000b273b74da7b895b0532f7712952a,5AXmRsX7PYC1kKWrwuS5mn,United States
Joyhauser,"belgian techno, dark techno, raw techno",https://i.scdn.co/image/ab6761610000e5eb4f5b845ecdaf8bc91ebd9408,59a1Bp0JQfL2mGnpL0lW2Y,Belgium
Sean Kingston,"dance pop, miami hip hop, pop",https://i.scdn.co/image/ab6761610000e5ebee205e5029a04bd0460e16e4,6S0dmVVn4udvppDhZIWxCr,New Zealand
Pekinska patka,"balkan post-punk, balkan punk, yugoslav new wave, yugoslav rock",https://i.scdn.co/image/ab67616d0000b273a0d180c8abdfd12cca5a38bf,3MLvHfCCGFQqX0XMV8KVAS,Yugoslavia
Tiger Hifi,Unknown,https://i.scdn.co/image/ab67616d0000b2737b5a019bc915ceb236f0c7b2,4XShICvBDcw3yrOsTxQIDY,Germany
Heiner Goebbels,"electroacoustic improvisation, german contemporary classical",https://i.scdn.co/image/b21f23db353ed8c80f391dbca8adb718662e9392,2aFZVrBUQflQVLEuEGLxcY,Germany
Katerine Duska,greek indie,https://i.scdn.co/image/ab6761610000e5eb5748970e0e3ba139e75d1265,40tNdcLMkz7RoHcykLSNwB,Greece
Peter Zummo,post-minimalism,https://i.scdn.co/image/66244b6c96e7af706447bb7ac51fa50820cabcd7,0ewl0qCpOyHsNk9Uw6VdAe,United States
Christy Azuma and Uppers International,Unknown,,7eEkgc6fUXmbLJGHuymgLg,Ghana
The Fernets,Unknown,https://i.scdn.co/image/ab67616d0000b273031da5f099752d315e0caf4d,0HZkrF4yGoV1lgBUw6TPnW,Norway
Xhaler,Unknown,https://i.scdn.co/image/ab6761610000e5eb09afe7df3ec91339e5769e89,0lXjArIt4bmUGsCgOdsJos,Norway
Boog Brown,Unknown,https://i.scdn.co/image/ab67616d0000b273ebe74d29a77f084e72b31142,1p5inp8DH6XUJsMKftseei,United States
Bluegrass Brethren,bluegrass gospel,https://i.scdn.co/image/ab67616d0000b273311a375301afe157ed65b497,5EXKA8ZC877gHhzIrFhPZk,United States
James Levine,"classical performance, opera",https://i.scdn.co/image/07f25551ca228cb0d66d65eb5091b92417685188,4qFQgEF1rg6a9WvJM0MQIa,United States
