artist_name,artist_genre,artist_img,artist_id,artist_country
Charlotte Qvale,Unknown,https://i.scdn.co/image/ab6761610000e5eb920344d5a68f3f99d91ef767,2jjjHpy5lxIRkTDrIHRH4v,Norway
Eyelids,"gbvfi, jangle pop",https://i.scdn.co/image/ab6761610000e5eb7f90efaafeaf698ce0db171c,0rYNielsCINWVoYJofAmUs,United States
George Gower,Unknown,https://i.scdn.co/image/ab6761610000e5eb5cdcac5d58dabe89ab4de148,5dY3RsdO6LWXjhYitTgX8b,United States
Horrified,epic doom,https://i.scdn.co/image/ab67616d0000b273c3850e535924602c69e2c2cb,6SBY9mSP2e4NC81noiStG1,Greece
Zizi Jeanmaire,Unknown,https://i.scdn.co/image/ab6761610000e5ebeae46fc1d4993463a29ca953,6LCt6VzzsEbg69Kx6DDVCu,France
Cruzados,Unknown,https://i.scdn.co/image/ab6761610000e5ebca2249222bd4d825f95efd49,5Z6VdXyk2zCR9W21dMs91P,United States
Final Flash,Unknown,https://i.scdn.co/image/ab67616d0000b273bb947b1bb81c5a450f6aeb48,0NuPzdpKn7nCBEPRxd2z20,Canada
Pacheko MC,Unknown,https://i.scdn.co/image/ab6761610000e5ebddee2fed387e9b9ba1d0c5af,2BQA5d8xXtN4sL3SXsrRuG,Venezuela
Pat Donohue,fingerstyle,https://i.scdn.co/image/ab67616d0000b2736e0f98be6d00d597ed6f4cca,5C5nLlGNAUDPFASXPXImJh,United States
Sasha Keable,uk contemporary r&b,https://i.scdn.co/image/ab6761610000e5eb20f89b1bbd24a1b88f9d1145,7MxGWmiAbqjNOGmj23wbWf,United Kingdom
Danny English,"deep ragga, jamaican dancehall",https://i.scdn.co/image/ab67616d0000b273747033ef84f410d163274155,5lwOs926I26VtNCYXoQDP8,Jamaica
Killer Queen,west end,https://i.scdn.co/image/ab67616d0000b273827c5d02343da18629641421,5UNcmuxN8y7frjQ541owvV,United Kingdom
Silent Knights,sleep,https://i.scdn.co/image/ab6761610000e5ebedbfd2522191c56fadc1f8d5,6XXL4cZkUvRIW1lD11xNt1,Australia
