artist_name,artist_genre,artist_img,artist_id,artist_country
Rockwilder,Unknown,https://i.scdn.co/image/ab67616d0000b273e24980348cc414634fe73f24,44qVOHAihzGKRQC0RaoEoK,United States
SHEAFS,"english indie rock, sheffield indie",https://i.scdn.co/image/ab6761610000e5ebbf5a0ae7446585a9e3591550,7rXC72g2KwyPUJzWxW9CLo,United Kingdom
Sanjaya Malakar,Unknown,https://i.scdn.co/image/ab67616d0000b2732f5c43af5783e45869046348,1n2LYG8wqnOuZhvQc9SDrU,United States
The Black Birds,Unknown,https://i.scdn.co/image/ab67616d0000b273c1298ec877684be731ec7756,6XsFl06IzyIvLj1xDKJcPP,Germany
The Scottish Fiddle Orchestra,"bagpipe, scottish fiddle, traditional scottish folk",https://i.scdn.co/image/ab6761610000e5eb6ee477d37c923c14eed5f7d9,3brV0jjoFcEgIJnyfYNjOc,United Kingdom
Will Chase,Unknown,https://i.scdn.co/image/ab67616d0000b27321f703f65065310303533faa,1xMUrRkfPwUuGgCIXqxO8B,United States
Цукор Біла Смерть,Unknown,,2lR9pWSKeGRg7tVBfERIjR,Ukraine
"Artie ""Blues Boy"" White",Unknown,https://i.scdn.co/image/ab67616d0000b273d3f41d2175d19965fc669c1c,1lHDwA5E2dpRxrwXGyE2VD,United States
BattleCry Melody,Unknown,https://i.scdn.co/image/ab67616d0000b2738753cf80162509de9d82dbf8,2952ReSfpxXka2YE6GHYnj,United States
Blutspan,Unknown,https://i.scdn.co/image/ab67616d0000b273e8cbac5953eb758d194f29f3,4xMoLTWrXKgjo5ope16YtX,Chile
Martin Bradford,Unknown,https://i.scdn.co/image/ab67616d0000b27340725cc79f5861b3e0a3b4db,2KCFu4WGNqj2kXJVisEPlN,United States
Clarity Process,screamocore,https://i.scdn.co/image/ab67616d0000b273fca4e5035caa2bfdad734c0b,5SarG0L6lSnxXzHD4pWHQp,United States
Devin Miles,pittsburgh rap,https://i.scdn.co/image/ab6761610000e5eb5e74f8f8ab53a9badf4dff3e,1qd7t9c1xyPiOoGfhsuBYl,United States
Fabio Pignatelli,vintage italian soundtrack,https://i.scdn.co/image/ab67616d0000b2733f65ff7776ad077d8d4932c5,3HfparDnTMwXrAehEEwnOJ,Italy
Feestpieten,Unknown,,5q1ZIZBizZVzxzEObZxhxa,Netherlands
George Burns,Unknown,https://i.scdn.co/image/51dbe93749f30c9c265b8728e8a62b54243499c5,1YpkpllQrpNvPoQDtN9jLc,United States
Johnny B. Morbid,horror punk,https://i.scdn.co/image/ab6761610000e5eb0b225314813d7eafb90c8944,2Gynce4evT0EfQ7nDbnV5I,United States
KVLTIK,Unknown,,4zND7HHEDvNQ1RHluAfJg3,Russia
Kesken,suomirap,https://i.scdn.co/image/ab6761610000e5eb9125d6d9c97976480466efc8,2LxRHmgjaHUWWwZxcqRWJU,Finland
landed.,Unknown,,36JskhlhcrUFTIpoQwIVoS,United States
Moe Mitchell,Unknown,https://i.scdn.co/image/ab6761610000e5ebd5b5d86ea0a5fa95ccd9672a,1Cf2rAiu34MxNqC7BZ2xjH,Germany
Artis Batak,batak,https://i.scdn.co/image/ab67616d0000b273461d45fd299812f063d3e24a,59w3qu0EcvkKidl3jJ9yuF,Italy
Neon Vandal,Unknown,https://i.scdn.co/image/ab6761610000e5eb8617c91ae372af64cb3365c2,6QH6Uq3ABj4byTFptOCAUo,United Kingdom
Slighter,Unknown,https://i.scdn.co/image/ab6761610000e5ebf5987d5f98ab261798574dc5,2uwnOLxyzoQjJpqVfMLVZ0,United States
